date,year,month,month_name,admin1,governorate,gov_pcode,event_type,events,fatalities
2018-03-01,2018,3,March,West Bank,Al Quds,PS0140,political_violence,41,2
2018-03-01,2018,3,March,West Bank,Hebron,PS0150,political_violence,39,1
2018-03-01,2018,3,March,West Bank,Tulkarm,PS0110,political_violence,2,0
2018-03-01,2018,3,March,West Bank,Tubas,PS0105,political_violence,1,0
2018-04-01,2018,4,April,West Bank,Jenin,PS0101,political_violence,10,0
2018-04-01,2018,4,April,West Bank,Jericho,PS0135,political_violence,5,0
2018-04-01,2018,4,April,West Bank,Qalqilya,PS0120,political_violence,14,0
2018-04-01,2018,4,April,West Bank,Salfit,PS0125,political_violence,6,1
2018-04-01,2018,4,April,West Bank,Nablus,PS0115,political_violence,44,0
2018-04-01,2018,4,April,West Bank,Ramallah and Al Bireh,PS0130,political_violence,51,1
2018-04-01,2018,4,April,West Bank,Bethlehem,PS0145,political_violence,20,0
2018-04-01,2018,4,April,West Bank,Al Quds,PS0140,political_violence,33,1
2018-04-01,2018,4,April,West Bank,Hebron,PS0150,political_violence,29,0
2018-04-01,2018,4,April,West Bank,Tulkarm,PS0110,political_violence,2,1
2018-04-01,2018,4,April,West Bank,Tubas,PS0105,political_violence,1,0
2018-05-01,2018,5,May,West Bank,Jenin,PS0101,political_violence,3,0
2018-05-01,2018,5,May,West Bank,Jericho,PS0135,political_violence,5,0
2018-05-01,2018,5,May,West Bank,Qalqilya,PS0120,political_violence,9,0
2018-05-01,2018,5,May,West Bank,Salfit,PS0125,political_violence,6,0
2018-05-01,2018,5,May,West Bank,Nablus,PS0115,political_violence,33,0
2018-05-01,2018,5,May,West Bank,Ramallah and Al Bireh,PS0130,political_violence,29,1
2018-05-01,2018,5,May,West Bank,Bethlehem,PS0145,political_violence,15,0
2018-05-01,2018,5,May,West Bank,Al Quds,PS0140,political_violence,43,0
2018-05-01,2018,5,May,West Bank,Hebron,PS0150,political_violence,37,0
2018-05-01,2018,5,May,West Bank,Tulkarm,PS0110,political_violence,3,0
